latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-39.90367,148.11609,354.64,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,298.33,27.74,D,0
-39.90435,148.11156,345.69,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,302.03,12.08,D,0
-39.90502,148.10703,355.57,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,302.19,12.08,D,0
-39.90101,148.11073,332.23,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,294.47,12.08,D,0
-39.90168,148.10619,353.14,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,304.93,12.08,D,0
-39.90236,148.10165,350.12,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,305.82,19.8,D,0
-39.89835,148.10536,341.73,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,292.92,15.97,D,0
-39.89902,148.10081,354.58,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,313.45,84.29,D,0
-39.89969,148.09628,351.26,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,301.72,84.29,D,0
-39.90037,148.09175,331.53,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,292.35,5.16,D,0
-39.89568,148.09999,367,0.38,0.36,2020-01-04,359,N,VIIRS,h,2,349.46,84.29,D,0
-39.89501,148.10452,347.22,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,308.59,15.97,D,0
-39.89703,148.09091,342.46,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,295.14,5.16,D,0
-39.89235,148.09915,367,0.38,0.36,2020-01-04,359,N,VIIRS,h,2,295.49,20.61,D,0
-39.89167,148.10368,330.44,0.38,0.36,2020-01-04,359,N,VIIRS,n,2,294.61,3.4,D,0
-39.89302,148.09462,352.94,0.39,0.36,2020-01-04,359,N,VIIRS,n,2,302.23,20.61,D,0
-37.75856,149.2625,332,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.6,3.23,D,0
-37.75814,149.2437,337.92,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.64,6.42,D,0
-37.75888,149.23924,344.68,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.2,6.42,D,0
-37.75479,149.24283,328.72,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.11,4.37,D,0
-37.75552,149.23836,347.06,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.01,4.37,D,0
-37.75143,149.24196,329.73,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.94,4.37,D,0
-37.75216,149.23749,332.31,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.61,4.37,D,0
-37.74659,149.25005,352.56,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,296.38,7.33,D,0
-37.74733,149.24556,345.91,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.83,7.33,D,0
-37.74807,149.24109,341.89,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.25,5.64,D,0
-37.7425,149.25363,330.91,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.51,5.61,D,0
-37.74323,149.24916,353.95,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,295.7,7.33,D,0
-37.73692,149.26622,331.83,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.56,27.09,D,0
-37.73766,149.26173,344.26,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,311.13,27.09,D,0
-37.7384,149.25726,332.87,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,300.5,16.4,D,0
-37.73914,149.25276,327.75,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.34,16.4,D,0
-37.73987,149.24831,347.41,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.09,4.85,D,0
-37.73357,149.26534,350.09,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,297.23,27.09,D,0
-37.73578,149.25191,355.84,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,296.2,16.4,D,0
-37.73652,149.24744,326.97,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.86,4.85,D,0
-37.7343,149.26086,358.03,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.04,27.09,D,0
-37.73503,149.25639,358.04,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,303.53,16.4,D,0
-37.7302,149.26447,353.35,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,301.75,20.5,D,0
-37.73094,149.25999,357.03,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,306.77,20.5,D,0
-37.73242,149.25102,337.74,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.99,12.72,D,0
-37.73167,149.25552,357.14,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,296.97,12.72,D,0
-37.72684,149.2636,348.78,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.6,20.5,D,0
-37.72758,149.25912,348.99,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.52,20.5,D,0
-37.78122,148.88788,330.43,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,287.41,2.45,D,0
-37.71457,149.27425,333.86,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.98,6.17,D,0
-37.7153,149.26981,337.25,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.6,4.15,D,0
-37.77069,148.9314,351.99,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.27,8.37,D,0
-37.77141,148.92694,338.44,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.19,8.37,D,0
-37.77213,148.9225,333.83,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.74,11.08,D,0
-37.77285,148.91808,328.65,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.54,11.08,D,0
-37.77787,148.88702,349.98,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.27,8.8,D,0
-37.71121,149.27336,353.71,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.72,6.17,D,0
-37.76519,148.94383,340.7,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.84,6,D,0
-37.76591,148.93939,343.81,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.92,5.71,D,0
-37.76662,148.93497,345.8,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.25,5.71,D,0
-37.76735,148.93051,343.04,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.74,8.37,D,0
-37.76807,148.92607,355.56,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,301.13,8.37,D,0
-37.77023,148.91277,354.06,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,298.31,6.58,D,0
-37.77094,148.90833,340.76,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.33,6.58,D,0
-37.77166,148.90388,329.42,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,289.51,3.05,D,0
