latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-37.28194,144.85126,350.58,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,329.78,78.06,D,0
-37.2806,144.86401,342.36,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,308.53,10.26,D,0
-37.27994,144.87033,336.84,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,306.5,4.6,D,0
-37.27454,144.92168,347.46,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,307.67,150.75,D,0
-37.2853,144.8582,336.67,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,306.13,10.26,D,0
-37.28396,144.87096,336.38,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,307.83,4.6,D,0
-37.28597,144.85181,367,0.56,0.43,2014-02-10,351,N,VIIRS,h,2,310,78.06,D,0
-37.28999,144.85246,345.56,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,319.28,58.25,D,0
-37.28932,144.85883,337.83,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,310.84,14.43,D,0
-37.29401,144.85321,351.7,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,318.95,58.25,D,0
-37.28656,144.92365,335.44,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,305.2,49.55,D,0
-37.29803,144.85387,342.81,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,307.91,5.36,D,0
-37.29124,144.91792,342.61,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,305.56,10.75,D,0
-37.30609,144.8551,335.5,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,307.97,4.65,D,0
-37.29995,144.91283,333.45,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,302.45,7.17,D,0
-37.29926,144.91927,345.81,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,305.77,7.17,D,0
-37.29025,144.85356,348.24,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,322.36,31.43,D,0
-37.28961,144.85992,337.03,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,311.28,31.43,D,0
-37.28382,144.91785,343.43,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,310.93,36.84,D,0
-37.29426,144.85431,356.51,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,319.87,31.43,D,0
-37.28784,144.91849,347.01,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,306.48,36.84,D,0
-37.29829,144.85497,338.77,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,308.06,5.89,D,0
-37.29185,144.91917,345.13,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,304.61,6.85,D,0
-37.30634,144.85622,335.15,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,309.02,5.28,D,0
-37.30051,144.91409,335.52,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,304.28,6.84,D,0
-37.29987,144.92052,337.41,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,303.69,6.41,D,0
-37.30854,144.91542,332.31,0.56,0.43,2014-02-10,351,N,VIIRS,l,2,304.8,4.96,D,0
-37.32442,144.83936,348.39,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,305.66,7.45,D,0
-37.32458,144.91811,348.14,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,302.26,39.34,D,0
-37.3286,144.91875,351.78,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,307.76,39.34,D,0
-37.3326,144.91943,345.8,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,307.12,22.34,D,0
-37.34458,144.8425,340.16,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,304.21,5.41,D,0
-37.3373,144.91353,354.78,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,305.47,22.34,D,0
-37.33661,144.92014,336.86,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,303.13,22.34,D,0
-37.34861,144.84317,337.85,0.57,0.43,2014-02-10,351,N,VIIRS,n,2,305.66,6.26,D,0
-37.35808,144.90996,344.89,0.56,0.43,2014-02-10,351,N,VIIRS,n,2,308.46,54.86,D,0
